genome,domain,phylum,class,order,family,genus,species,source,assembly,accession,description,substrate,country,origin,assign,database,completeness,contamination
GCF_000155515.2_ASM15551v2_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus paracasei,NCBI,RefSeq,GCF_000155515.2,Pasteurized milk,dairy,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.46,0
GCF_000157355.2_ASM15735v2_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus casseliflavus,NCBI,RefSeq,GCF_000157355.2,NA,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.25,0.38
GCF_000161935.1_ASM16193v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus coleohominis_A,NCBI,RefSeq,GCF_000161935.1,Vaginal urogenital tract,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_000182745.2_ASM18274v1_genomic,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter,Komagataeibacter medellinensis,NCBI,RefSeq,GCF_000182745.2,Type strain of Komagataeibacter medellinensis,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,99.5,0
GCF_000191145.1_ASM19114v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter pittii,NCBI,RefSeq,GCF_000191145.1,NA,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.77,0
GCF_000194115.1_ASM19411v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus,NCBI,RefSeq,GCF_000194115.1,Pig intestine,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.94,0
GCF_000196555.1_ASM19655v1_genomic,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,NCBI,RefSeq,GCF_000196555.1,Type material of Bifidobacterium longum subsp. longum,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_000196795.1_ASM19679v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,NCBI,RefSeq,GCF_000196795.1,type strain of Acinetobacter oleivorans,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,100,0.68
GCF_000196855.1_ASM19685v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc gasicomitatum,NCBI,RefSeq,GCF_000196855.1,Not reported,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.44,0
GCF_000219915.2_ASM21991v3_genomic,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis,NCBI,RefSeq,GCF_000219915.2,type strain of Tetrathiobacter kashmirensis,NA,India,India,prokaryote,MiFoDB_beta_v3_prok,94.16,0
GCF_000224965.2_ASM22496v2_genomic,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis,NCBI,RefSeq,GCF_000224965.2,N/A,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_000231445.1_ASM23144v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,Commensalibacter intestini,NCBI,RefSeq,GCF_000231445.1,drosophila gut,NA,South Korea,South Korea,prokaryote,MiFoDB_beta_v3_prok,100,0.5
GCF_000233595.1_ASM23359v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea ananatis,NCBI,RefSeq,GCF_000233595.1,NA,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,100,0.17
GCF_000234355.1_ASM23435v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconobacter,Gluconobacter morbifer,NCBI,RefSeq,GCF_000234355.1,drosophila gut,NA,South Korea,South Korea,prokaryote,MiFoDB_beta_v3_prok,99.34,0
GCF_000241055.1_ASM24105v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus kitaharae,NCBI,RefSeq,GCF_000241055.1,Type material of Oenococcus kitaharae,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,97.59,0.53
GCF_000241955.1_ASM24195v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,Rahnella aquatilis,NCBI,RefSeq,GCF_000241955.1,drinking water,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,100,0.08
GCF_000242255.2_ASM24225v3_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Frateuria,Frateuria aurantia,NCBI,RefSeq,GCF_000242255.2,golden rayed lily,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,98.68,0.79
GCF_000246945.1_ASM24694v2_genomic,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides injenensis,NCBI,RefSeq,GCF_000246945.1,NA,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.65,0.47
GCF_000263675.1_ASM26367v2_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas lactis,NCBI,RefSeq,GCF_000263675.1,rhizosphere of wheat grown in soil,NA,Neatherlands,Neatherlands,prokaryote,MiFoDB_beta_v3_prok,99.8,0.48
GCF_000297075.2_Ppseudo_final_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas oleovorans,NCBI,RefSeq,GCF_000297075.2,NA,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.39,1.63
GCF_000298875.1_ASM29887v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc gelidum,NCBI,RefSeq,GCF_000298875.1,Kimchi,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.44,0.19
GCF_000312405.1_ASM31240v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus ingluviei,NCBI,RefSeq,GCF_000312405.1,"Pigeon, crop",NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.18,0.55
GCF_000314855.2_ASM31485v2_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia burhodogranariea,NCBI,RefSeq,GCF_000314855.2,Drosophila melanogaster,NA,United States of America,United States of America,prokaryote,MiFoDB_beta_v3_prok,100,0.18
GCF_000317165.1_O1P2RL8_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus saerimneri,NCBI,RefSeq,GCF_000317165.1,Pig faeces,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,0.52
GCF_000367925.1_Acin_sp_ANC_3994_V1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter bohemicus,NCBI,RefSeq,GCF_000367925.1,NA,NA,Czech Republic,"Lany forestland, Czech Republic",prokaryote,MiFoDB_beta_v3_prok,99.73,1.37
GCF_000369005.1_Acin_beij_CIP_110307_V1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter beijerinckii,NCBI,RefSeq,GCF_000369005.1,human wound,NA,Sweden,"Malmo, Sweden",prokaryote,MiFoDB_beta_v3_prok,99.91,0.04
GCF_000369885.1_Acin_ursi_NIPH_706_V1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter ursingii,NCBI,RefSeq,GCF_000369885.1,NA,NA,Czech Republic,"Pribram, Czech Republic",prokaryote,MiFoDB_beta_v3_prok,99.91,0.04
GCF_000376705.1_ASM37670v1_genomic,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,NCBI,RefSeq,GCF_000376705.1,NA,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.87,0.03
GCF_000378165.1_ASM37816v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Saccharibacter,Saccharibacter floricola,NCBI,RefSeq,GCF_000378165.1,pollen of Japanese flowers,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,99.25,0
GCF_000379545.1_ASM37954v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter aceti,NCBI,RefSeq,GCF_000379545.1,quick vinegar,fruit,United States of America,"Davis, CA, United States of America",prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_000382065.1_ASM38206v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,[Pseudomonas],[Pseudomonas] hibiscicola,NCBI,RefSeq,GCF_000382065.1,plant,NA,United States of America,United States of America,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_000389675.2_ASM38967v2_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,NCBI,RefSeq,GCF_000389675.2,Human,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.94,0
GCF_000412675.1_ASM41267v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,NCBI,RefSeq,GCF_000412675.1,NA,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.88,1.12
GCF_000413895.1_Acin_rudi_CIP_110305_V1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter rudis,NCBI,RefSeq,GCF_000413895.1,Raw milk,dairy,Israel,Israel,prokaryote,MiFoDB_beta_v3_prok,99.73,1.8
GCF_000420365.1_ASM42036v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella halotolerans,NCBI,RefSeq,GCF_000420365.1,Sausage,meat,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.39,0
GCF_000423245.1_ASM42324v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ceti,NCBI,RefSeq,GCF_000423245.1,Lungs of a beaked whale,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,97.91,0
GCF_000425905.1_ASM42590v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus psittaci,NCBI,RefSeq,GCF_000425905.1,Lung of parrott,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,97.11,0
GCF_000426765.1_ASM42676v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio litoralis,NCBI,RefSeq,GCF_000426765.1,seawater,NA,South Korea,South Korea,prokaryote,MiFoDB_beta_v3_prok,96.08,1.71
GCF_000427645.1_ASM42764v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas phyllosphaerae,NCBI,RefSeq,GCF_000427645.1,Acacia caven,NA,Argentina,Argentina,prokaryote,MiFoDB_beta_v3_prok,99.66,0.34
GCF_000427865.1_ASM42786v1_genomic,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sputi,NCBI,RefSeq,GCF_000427865.1,sputum of a patient with pneumonia,NA,Germany,Germany,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_000439375.1_06-3099_v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Tatumella,Tatumella saanichensis,NCBI,RefSeq,GCF_000439375.1,sputum,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,94.35,0.46
GCF_000442985.1_AtP4V1.0_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium fabacearum,NCBI,RefSeq,GCF_000442985.1,tobacco rhizosphere,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.98,0.28
GCF_000469325.1_ASM46932v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Schleiferilactobacillus,Schleiferilactobacillus shenzhenensis,NCBI,RefSeq,GCF_000469325.1,Fermented dairy beverage,dairy,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.48,1.05
GCF_000498655.1_ASM49865v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Zymomonadaceae,Zymomonas,Zymomonas mobilis,NCBI,RefSeq,GCF_000498655.1,generic sample from Zymomonas mobilis subsp. mobilis CP4,NA,United States of America,United States of America,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_000498955.2_NMG01_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus fabifermentans,NCBI,RefSeq,GCF_000498955.2,Cocoa bean heap fermentation,seed,Ghana,Ghana,prokaryote,MiFoDB_beta_v3_prok,99.07,1.39
GCF_000504525.1_Lactobacillus_equi_DPC_6820_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus equi,NCBI,RefSeq,GCF_000504525.1,Faeces of horses,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.21,2.27
GCF_000526655.1_ASM52665v1_genomic,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Heyndrickxia,Heyndrickxia ginsengihumi,NCBI,RefSeq,GCF_000526655.1,NA,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,93.78,0
GCF_000534275.1_Ente_cloa_UCI_24_V1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter kobei,NCBI,RefSeq,GCF_000534275.1,urine,NA,United States of America,United States of America,prokaryote,MiFoDB_beta_v3_prok,99.11,0.3
GCF_000583855.1_ASM58385v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconobacter,Gluconobacter oxydans,NCBI,RefSeq,GCF_000583855.1,NA,NA,Germany,Germany,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_000613285.1_ASM61328v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter papayae,NCBI,RefSeq,GCF_000613285.1,NA,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,92.48,1
GCF_000613305.1_ASM61330v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,Komagataeibacter kakiaceti,NCBI,RefSeq,GCF_000613305.1,NA,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,79.68,1.82
GCF_000613845.1_ASM61384v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Asaia,Asaia astilbis,NCBI,RefSeq,GCF_000613845.1,NA,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,95.25,0
GCF_000613885.1_ASM61388v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Asaia,Asaia prunellae,NCBI,RefSeq,GCF_000613885.1,NA,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,93.55,0
GCF_000614545.1_ASM61454v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Asaia,Asaia platycodi,NCBI,RefSeq,GCF_000614545.1,NA,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,91.61,0
GCF_000626675.1_ASM62667v1_genomic,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glyciniphilum,NCBI,RefSeq,GCF_000626675.1,NA,NA,Germany,Germany,prokaryote,MiFoDB_beta_v3_prok,99.32,1.58
GCF_000691805.2_ASM69180v2_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella oryzae,NCBI,RefSeq,GCF_000691805.2,Paddy field,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.39,0
GCF_000697965.2_ASM69796v2_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ensifer,Ensifer adhaerens,NCBI,RefSeq,GCF_000697965.2,silty clay loam soil,NA,United States of America,"PA, United States of America",prokaryote,MiFoDB_beta_v3_prok,99.96,2.32
GCF_000705495.1_GbsDonk1.0_genomic,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus stearothermophilus,NCBI,RefSeq,GCF_000705495.1,NA,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.74,0.56
GCF_000725405.1_ASM72540v1_genomic,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermacoccaceae,Dermacoccus,Dermacoccus nishinomiyaensis,NCBI,RefSeq,GCF_000725405.1,hot spring,NA,Malaysia,Malaysia,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_000740055.1_ASM74005v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus oryzae,NCBI,RefSeq,GCF_000740055.1,Fermented rice grain,grains,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.7,0
GCF_000744825.1_ASM74482v1_genomic,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium mobile,NCBI,RefSeq,GCF_000744825.1,type strain of Carnobacterium mobile,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.45,2.19
GCF_000757425.2_Tmorbiroseiassem5_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Tatumella,Tatumella morbirosei,NCBI,RefSeq,GCF_000757425.2,pineapple,fruit,Philippines,Philippines,prokaryote,MiFoDB_beta_v3_prok,97.9,2.11
GCF_000757795.1_ASM75779v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium oryzae,NCBI,RefSeq,GCF_000757795.1,plant phyllosphere,NA,South Korea,South Korea,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_000761155.1_ASM76115v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas rhizosphaerae,NCBI,RefSeq,GCF_000761155.1,Rhizospheric soil of grasses,NA,Spain,Spain,prokaryote,MiFoDB_beta_v3_prok,98.38,0.2
GCF_000785105.2_ASM78510v2_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus curieae,NCBI,RefSeq,GCF_000785105.2,Stinky tofu brine,legumes,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.38,0.62
GCF_000817255.2_ASM81725v2_genomic,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter,Komagataeibacter intermedius,NCBI,RefSeq,GCF_000817255.2,Kombucha,sugar,Brazil,Brazil,prokaryote,MiFoDB_beta_v3_prok,100,2.49
GCF_000819865.1_PRJEB7029_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas eucrenophila,NCBI,RefSeq,GCF_000819865.1,NA,NA,United States of America,"CT, United States of America",prokaryote,MiFoDB_beta_v3_prok,99.97,0
GCF_000821065.1_PRJEB5950_assembly_1_genomic,Bacteria,Bacillota,Bacilli,Bacillales,Oceanobacillus,Oceanobacillus,Oceanobacillus oncorhynchi,NCBI,RefSeq,GCF_000821065.1,NA,NA,France,France,prokaryote,MiFoDB_beta_v3_prok,99.33,0.67
GCF_000829055.1_ASM82905v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus casei,NCBI,RefSeq,GCF_000829055.1,Not reported,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,97.74,0.36
GCF_000829395.1_ASM82939v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus,Paucilactobacillus hokkaidonensis,NCBI,RefSeq,GCF_000829395.1,Type material of Lactobacillus hokkaidonensis,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.46,0.82
GCF_000831645.3_ASM83164v3_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus heilongjiangensis,NCBI,RefSeq,GCF_000831645.3,Chinese pickle,vegetable,China,China,prokaryote,MiFoDB_beta_v3_prok,99.48,1.05
GCF_000832905.1_ASM83290v1_genomic,Bacteria,Firmicutes,Bacilli,Bacillales_B,Bacillaceae_C,Weizmannia,Weizmannia coagulans,NCBI,RefSeq,GCF_000832905.1,Type strain of Bacillus coagulans,NA,United States of America,United States of America,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_000876205.1_ASM87620v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus,Paucilactobacillus wasatchensis,NCBI,RefSeq,GCF_000876205.1,Aged Cheddar cheese,dairy,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.46,0.82
GCF_000934565.1_ASM93456v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas simiae,NCBI,RefSeq,GCF_000934565.1,tomato,fruit,Uzbekistan,Uzbekistan,prokaryote,MiFoDB_beta_v3_prok,99.93,0.32
GCF_000961515.1_ASM96151v1_genomic,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia fungorum,NCBI,RefSeq,GCF_000961515.1,White-rot fungus Phanerochaete chrysosporium,NA,France,France,prokaryote,MiFoDB_beta_v3_prok,99.6,2.14
GCF_000963885.1_ASM96388v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Tanticharoenia,Tanticharoenia sakaeratensis,NCBI,RefSeq,GCF_000963885.1,NA,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,98.51,0.75
GCF_000963925.1_ASM96392v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter cibinongensis,NCBI,RefSeq,GCF_000963925.1,type strain of Acetobacter cibinongensis,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,100,0.5
GCF_000963965.1_ASM96396v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter orientalis,NCBI,RefSeq,GCF_000963965.1,NA,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,100,0.5
GCF_000964225.1_ASM96422v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter syzygii,NCBI,RefSeq,GCF_000964225.1,type strain of Acetobacter syzygii,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,100,0
GCF_000964365.1_ASM96436v1_genomic,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisphaera,Acidisphaera rubrifaciens,NCBI,RefSeq,GCF_000964365.1,NA,NA,Japan,Japan,prokaryote,MiFoDB_beta_v3_prok,88.2,1.24
GCF_000965255.1_ASM96525v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus spicheri,NCBI,RefSeq,GCF_000965255.1,Rice sourdough,grains,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.04,0.62
GCF_000967245.1_ASM96724v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus mellis,NCBI,RefSeq,GCF_000967245.1,Honey stomach of the honeybee Apis mellifera,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.78,0.26
GCF_000967305.2_ASM96730v2_genomic,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes faecalis,NCBI,RefSeq,GCF_000967305.2,nematode,NA,China,"Wuhan, China",prokaryote,MiFoDB_beta_v3_prok,100,0.41
GCF_000969395.1_ASM96939v1_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea anthophila,NCBI,RefSeq,GCF_000969395.1,hypersaline lake,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,100,0.21
GCF_000970755.1_ASM97075v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kimbladii_A,NCBI,RefSeq,GCF_000970755.1,Honey stomach of the honeybee Apis mellifera,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,97.4,1.27
GCF_000970775.1_ASM97077v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus melliventris,NCBI,RefSeq,GCF_000970775.1,Honey stomach of the honeybee Apis mellifera,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,97.4,1.95
GCF_000970795.1_ASM97079v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus mellifer,NCBI,RefSeq,GCF_000970795.1,Honey stomach of the honeybee Apis mellifera,NA,NA,NA,prokaryote,MiFoDB_beta_v3_prok,98.95,0
GCF_001039045.1_ASM103904v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus herbarum,NCBI,RefSeq,GCF_001039045.1,Fermented radish,vegetable,NA,NA,prokaryote,MiFoDB_beta_v3_prok,99.02,3.09
GCF_001043025.1_MG221_genomic,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas helleri,NCBI,RefSeq,GCF_001043025.1,raw milk,NA,Germany,Germany,prokaryote,MiFoDB_beta_v3_prok,100,0.58
GCF_001047075.2_ASM104707v2_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Fructobacillus,Fructobacillus ficulneus,NCBI,RefSeq,GCF_001047075.2,Fig,fruit,NA,NA,prokaryote,MiFoDB_beta_v3_prok,95.03,0.52
